prompt_tokens,cached_prefix_tokens,queue_depth,calibration_n,expected_ttft_ms,calibration_median_ttft_ms,calibration_median_ci_low_ms,calibration_median_ci_high_ms,calibration_p95_ttft_ms,validation_n,validation_mean_ttft_ms,validation_median_ttft_ms,validation_p95_ttft_ms,mean_error_ms,median_error_ms,p95_error_ms
128,0,0,30,38.7038835,38.574125,38.307520999999994,38.797,39.947142150000005,5,38.348075,38.36025,38.9810918,-0.35580850000000197,-0.2138750000000016,-0.9660503500000033
128,0,2,30,796.1936069666667,786.611875,778.541584,799.309021,873.70503545,5,778.6654417999999,783.79675,799.2562664,-17.52816516666678,-2.81512500000008,-74.44876905000001
128,0,8,30,3272.7564555333333,3261.4177085,3208.6598125,3310.8636875,3434.0954273,5,3211.893075,3199.807209,3272.5780996000003,-60.863380533333384,-61.61049950000006,-161.5173276999999
128,64,0,30,26.57176116666667,26.099792,25.818396,26.522959,28.8819875,5,26.148992,26.16625,26.4992418,-0.42276916666666864,0.0664580000000008,-2.382745700000001
128,64,2,30,779.5070234666666,776.7950625,771.2805,781.887958,816.6729894,5,806.3812168000001,791.47825,880.6677169999999,26.874193333333437,14.683187500000031,63.99472759999992
128,64,8,30,3286.5696167,3263.403021,3193.581333,3298.3144995000002,3511.2213062499995,5,3216.2290332000002,3187.679791,3336.57515,-70.34058349999987,-75.72323000000006,-174.64615624999942
512,0,0,30,118.8703361,118.47162499999999,118.1223545,119.1734795,121.0300125,5,118.7410082,118.333166,120.2091746,-0.12932790000000693,-0.13845899999998323,-0.8208379000000008
512,0,2,30,992.2564194666667,989.564104,975.0861255,1000.4918124999999,1024.3492103,5,991.5611086,987.984292,1016.4250336,-0.6953108666666594,-1.5798120000000608,-7.924176700000089
512,0,8,30,4095.8738793,4115.3889375,4001.877688,4129.096646,4248.11195625,5,4008.9645247999997,3995.064125,4056.7076494,-86.90935450000052,-120.32481250000001,-191.40430685
512,64,0,30,108.81436493333334,107.910583,107.30777934999998,109.18056200000001,113.48273560000001,5,110.5028166,108.77225,114.4813916,1.6884516666666656,0.8616669999999971,0.9986559999999827
512,64,2,30,987.7813764333333,987.3035625,972.9788588624999,991.8720209999999,1045.844692,5,972.4099,972.573042,993.962475,-15.371476433333328,-14.730520500000011,-51.882216999999855
512,64,8,30,4062.3582111333335,4060.0870625,3992.243375,4103.1023335,4280.0415913,5,4086.0687584,4016.007334,4313.669775,23.71054726666671,-44.079728499999874,33.62818370000059
512,256,0,30,70.6236751,69.896188,69.6922295,70.337875,73.6517981,5,69.844825,69.768125,70.3379162,-0.7788500999999997,-0.12806299999999737,-3.3138818999999984
512,256,2,30,962.7787444,953.097687,941.3014795,983.4473335,1025.1286161499997,5,934.4459168,934.875291,946.8872756000001,-28.332827600000087,-18.222396000000003,-78.24134054999968
512,256,8,30,3993.7422542333334,3958.1562080000003,3941.654646,4018.2861875,4135.07166495,5,4086.4702502,4019.790458,4276.173984,92.72799596666664,61.63424999999961,141.10231905
1024,0,0,30,241.65511796666667,240.0999585,239.20320850000002,240.864812,252.23038354999994,5,238.2025336,238.220875,240.39375059999998,-3.452584366666656,-1.8790835000000072,-11.836632949999967
1024,0,2,30,1275.8916681,1265.7684585,1250.656083,1285.794187,1336.60325015,5,1245.6880832,1238.480125,1281.13455,-30.203584900000124,-27.288333499999908,-55.468700149999904
1024,0,8,30,5141.7129792,5140.280041,5074.2688535,5193.596417,5315.479181249999,5,5082.2814832,5076.808917,5146.4930086,-59.43149599999924,-63.47112399999969,-168.98617264999848
1024,64,0,30,229.03087366666668,228.35958349999999,227.272459,229.7514585,232.7104516,5,229.5277332,226.982708,236.6500828,0.4968595333333212,-1.3768754999999828,3.939631200000008
1024,64,2,30,1244.889993,1242.8328335,1234.6127915000002,1253.7881459999999,1293.8685064,5,1250.2210418,1243.089459,1288.9745248000002,5.331048799999962,0.25662549999992734,-4.893981599999734
1024,64,8,30,5090.350819533333,5068.821395999999,5026.245917,5118.143292,5263.8937581499995,5,5093.989500000001,5029.272667,5322.130066600001,3.6386804666672106,-39.548728999999184,58.23630845000116
1024,256,0,30,188.8829194,188.527604,187.654459,189.16860350000002,193.92903109999997,5,188.7082666,188.719417,189.8415996,-0.17465279999998984,0.19181299999999624,-4.08743149999998
1024,256,2,30,1207.5813499333333,1200.8655415,1187.7138960000002,1211.0697495,1255.8696728,5,1194.8464582,1192.019583,1225.77405,-12.73489173333337,-8.845958500000052,-30.0956228
1024,256,8,30,5046.728648666666,5007.433792,4981.547437499999,5105.909583,5247.8163984,5,5036.3644748,4976.030041,5221.2692748,-10.364173866666533,-31.40375099999983,-26.547123600000305
1024,512,0,30,138.0970584,137.62285400000002,137.21125,138.723521,141.46477905,5,140.5585084,139.769459,144.5982416,2.461449999999985,2.146604999999994,3.13346254999999
1024,512,2,30,1162.6365556333333,1157.1092079999999,1145.6546250000001,1167.33575,1229.9985546499997,5,1142.2016834,1139.351458,1165.816325,-20.43487223333318,-17.75774999999976,-64.18222964999973
1024,512,8,30,5009.545619433334,4988.266250000001,4954.874292,5045.128875,5151.9723623499995,5,4996.2294667999995,4922.783083,5231.3762338,-13.31615263333424,-65.48316700000032,79.40387145000022
